"TraitName","TraitID","AccSpeciesName","UnitName","meanMeasure","nmeasures"
"Fruit length",918,"Areca camarinensis","mm",46.6666666666667,4
"Fruit length",918,"Areca catechu","mm",65,4
"Fruit length",918,"Areca chaiana","mm",30,2
"Fruit length",918,"Areca concinna","mm",30,2
"Fruit length",918,"Areca dransfieldii","mm",38,2
"Fruit length",918,"Areca furcata","mm",10,2
"Fruit length",918,"Areca gurita","mm",20,2
"Fruit length",918,"Areca hutchinsoniana","mm",30,2
"Fruit length",918,"Areca insignis","mm",22,2
"Fruit length",918,"Areca ipot","mm",50,2
"Fruit length",918,"Areca jugahpunya","mm",55,2
"Fruit length",918,"Areca kinabaluensis","mm",20,2
"Fruit length",918,"Areca klingkangensis","mm",26,2
"Fruit length",918,"Areca laosensis","mm",75,4
"Fruit length",918,"Areca macrocalyx","mm",37.5,4
"Fruit length",918,"Areca mandacanii","mm",44.9,2
"Fruit length",918,"Areca minuta","mm",12,2
"Fruit length",918,"Areca mogeana","mm",15,2
"Fruit length",918,"Areca montana","mm",25,2
"Fruit length",918,"Areca novohibernica","mm",32,2
"Fruit length",918,"Areca oxycarpa","mm",25,2
"Fruit length",918,"Areca parens","mm",60,2
"Fruit length",918,"Areca rheophytica","mm",20,2
"Fruit length",918,"Areca ridleyana","mm",6.5,3
"Fruit length",918,"Areca riparia","mm",24,4
"Fruit length",918,"Areca songthanhensis","mm",30,2
"Fruit length",918,"Areca subacaulis","mm",25,2
"Fruit length",918,"Areca triandra","mm",25,2
"Fruit length",918,"Areca tunku","mm",45,2
"Fruit length",918,"Areca vestiaria","mm",20,2
"Fruit length",918,"Areca vidaliana","mm",14,2
"Fruit length",918,"Areca whitfordii","mm",45,4
"Fruit length",918,"Arenga australasica","mm",17,4
"Fruit length",918,"Arenga brevipes","mm",26.5,4
"Fruit length",918,"Arenga caudata","mm",15,2
"Fruit length",918,"Arenga distincta","mm",10,2
"Fruit length",918,"Arenga engleri","mm",15,2
"Fruit length",918,"Arenga hastata","mm",7,2
"Fruit length",918,"Arenga hookeriana","mm",12,2
"Fruit length",918,"Arenga listeri","mm",15,4
"Fruit length",918,"Arenga longicarpa","mm",18,2
"Fruit length",918,"Arenga microcarpa","mm",14.4,2
"Fruit length",918,"Arenga obtusifolia","mm",60,2
"Fruit length",918,"Arenga pinnata","mm",70,2
"Fruit length",918,"Arenga porphyrocarpa","mm",15,2
"Fruit length",918,"Arenga retroflorescens","mm",24.5,4
"Fruit length",918,"Arenga ryukyuensis","mm",18,2
"Fruit length",918,"Arenga tremula","mm",13,2
"Fruit length",918,"Arenga undulatifolia","mm",50,2
"Fruit length",918,"Arenga westerhoutii","mm",70,2
"Fruit length",918,"Arenga wightii","mm",25,2
"Fruit length",918,"Aristotelia chilensis","mm",6,1
"Fruit length",918,"Arnhemia cryptantha","mm",9.5,1
"Fruit length",918,"Artabotrys hexapetalus","mm",32.5,3
"Fruit length",918,"Arthropodium curvipes","mm",3,1
"Fruit length",918,"Arthropodium dyeri","mm",4,1
"Fruit length",918,"Arthropodium minus","mm",5,1
"Fruit length",918,"Asimina angustifolia","mm",70,3
"Fruit length",918,"Asimina rugelii","mm",45,3
"Fruit length",918,"Asimina triloba","mm",100,3
"Fruit length",918,"Aspidosperma album","mm",95.345,2
"Fruit length",918,"Aspidosperma oblongum","mm",49.75,1
"Fruit length",918,"Aspidosperma sp","mm",45,1
"Fruit length",918,"Astelia australiana","mm",8,1
"Fruit length",918,"Astelia psychrocharis","mm",13.5,1
"Fruit length",918,"Asteranthe asterias","mm",30,3
"Fruit length",918,"Asterogyne guianensis","mm",25,2
"Fruit length",918,"Asterogyne martiana","mm",9.33333333333333,4
"Fruit length",918,"Astrocaryum acaule","mm",40,4
"Fruit length",918,"Astrocaryum aculeatissimum","mm",53.225,5
"Fruit length",918,"Astrocaryum aculeatum","mm",42.3348,26
"Fruit length",918,"Astrocaryum alatum","mm",26,2
"Fruit length",918,"Astrocaryum campestre","mm",32.5,4
"Fruit length",918,"Astrocaryum carnosum","mm",14,2
"Fruit length",918,"Astrocaryum chambira","mm",70,4
"Fruit length",918,"Astrocaryum chonta","mm",54,2
"Fruit length",918,"Astrocaryum ciliatum","mm",49,4
"Fruit length",918,"Astrocaryum confertum","mm",30,2
"Fruit length",918,"Astrocaryum echinatum","mm",42,2
"Fruit length",918,"Astrocaryum faranae","mm",61,4
"Fruit length",918,"Astrocaryum farinosum","mm",62,4
"Fruit length",918,"Astrocaryum ferrugineum","mm",53,4
"Fruit length",918,"Astrocaryum giganteum","mm",40,2
"Fruit length",918,"Astrocaryum gratum","mm",53.5,2
"Fruit length",918,"Astrocaryum huaimi","mm",35.5,4
"Fruit length",918,"Astrocaryum huicungo","mm",50,2
"Fruit length",918,"Astrocaryum jauari","mm",29.7579487179487,40
"Fruit length",918,"Astrocaryum javarense","mm",51,4
"Fruit length",918,"Astrocaryum macrocalyx","mm",80,2
"Fruit length",918,"Astrocaryum mexicanum","mm",35,2
"Fruit length",918,"Astrocaryum minus","mm",12,2
"Fruit length",918,"Astrocaryum murumuru","mm",46.9060416666667,49
"Fruit length",918,"Astrocaryum paramaca","mm",37.5,4
"Fruit length",918,"Astrocaryum perangustatum","mm",80,2
"Fruit length",918,"Astrocaryum rodriguesii","mm",40,2
"Fruit length",918,"Astrocaryum sciophilum","mm",67.5,4
"Fruit length",918,"Astrocaryum sociale","mm",50,4
"Fruit length",918,"Astrocaryum standleyanum","mm",48.75,5
"Fruit length",918,"Astrocaryum triandrum","mm",50,4
"Fruit length",918,"Astrocaryum ulei","mm",46.5,4
"Fruit length",918,"Astrocaryum urostachys","mm",75,4
"Fruit length",918,"Astrocaryum vulgare","mm",34.268,26
"Fruit length",918,"Astronium gracile","mm",12.0363157894737,38
"Fruit length",918,"Atalaya angustifolia","mm",3.5,1
"Fruit length",918,"Atalaya australiana","mm",3.25,1
"Fruit length",918,"Atalaya calcicola","mm",3.5,1
"Fruit length",918,"Atalaya hemiglauca","mm",3,1
"Fruit length",918,"Atalaya multiflora","mm",3.5,1
"Fruit length",918,"Atalaya rigida","mm",3.75,1
"Fruit length",918,"Atalaya salicifolia","mm",3,1
"Fruit length",918,"Atalaya sericopetala","mm",3,1
"Fruit length",918,"Atalaya variifolia","mm",5.5,1
"Fruit length",918,"Atherosperma moschatum","mm",15,1
"Fruit length",918,"Attalea allenii","mm",74.1590909090909,23
"Fruit length",918,"Attalea amygdalina","mm",83.2,9
"Fruit length",918,"Attalea apoda","mm",60,4
"Fruit length",918,"Attalea attaleoides","mm",50,4
"Fruit length",918,"Attalea barreirensis","mm",53.3333333333333,16
"Fruit length",918,"Attalea bassleriana","mm",90.5,2
"Fruit length",918,"Attalea brasiliensis","mm",60,2
"Fruit length",918,"Attalea brejinhoensis","mm",90,4
"Fruit length",918,"Attalea burretiana","mm",75.9,4
"Fruit length",918,"Attalea butyracea","mm",64.4755555555556,64
"Fruit length",918,"Attalea cephalotus","mm",87.4,12
"Fruit length",918,"Attalea cohune","mm",65.275,25
"Fruit length",918,"Attalea colenda","mm",49.2428571428571,8
"Fruit length",918,"Attalea compta","mm",81.2111111111111,10
"Fruit length",918,"Attalea crassispatha","mm",38.0333333333333,7
"Fruit length",918,"Attalea cuatrecasana","mm",121.3,12
"Fruit length",918,"Attalea dahlgreniana","mm",75,4
"Fruit length",918,"Attalea dubia","mm",59,5
"Fruit length",918,"Attalea eichleri","mm",63.125,17
"Fruit length",918,"Attalea exigua","mm",62.1714285714286,15
"Fruit length",918,"Attalea funifera","mm",98.5666666666667,10
"Fruit length",918,"Attalea geraensis","mm",60,4
"Fruit length",918,"Attalea guianensis","mm",49.8666666666667,3
"Fruit length",918,"Attalea humilis","mm",66.0875,9
"Fruit length",918,"Attalea iguadummat","mm",88.6666666666667,7
"Fruit length",918,"Attalea insignis","mm",69.17,11
"Fruit length",918,"Attalea luetzelburgii","mm",52.4,6
"Fruit length",918,"Attalea maripa","mm",48.70625,17
"Fruit length",918,"Attalea microcarpa","mm",39.5933333333333,16
"Fruit length",918,"Attalea nucifera","mm",67.6555555555556,10
"Fruit length",918,"Attalea oleifera","mm",82.4,13
"Fruit length",918,"Attalea phalerata","mm",64.08,26
"Fruit length",918,"Attalea piassabossu_x","mm",80,4
"Fruit length",918,"Attalea pindobassu","mm",78.0076923076923,14
"Fruit length",918,"Attalea plowmanii","mm",82.58,11
"Fruit length",918,"Attalea princeps","mm",70,4
"Fruit length",918,"Attalea racemosa","mm",67.3357142857143,15
"Fruit length",918,"Attalea salvadorensis","mm",90,2
"Fruit length",918,"Attalea seabrensis","mm",75,4
"Fruit length",918,"Attalea septuagenata","mm",106.58,6
"Fruit length",918,"Attalea sp","mm",72.3466666666667,15
"Fruit length",918,"Attalea speciosa","mm",91.2255813953488,44
"Fruit length",918,"Attalea spectabilis","mm",48.25,25
"Fruit length",918,"Attalea tessmannii","mm",123.1,11
"Fruit length",918,"Attalea vitrivir","mm",120,4
"Fruit length",918,"Austromatthaea elegans","mm",18,1
"Fruit length",918,"Austromuellera trinervia","mm",175,1
"Fruit length",918,"Austromuellera valida","mm",125,1
"Fruit length",918,"Axinaea lawessonii","mm",12.36,1
"Fruit length",918,"Bactris acanthocarpa","mm",14,2
"Fruit length",918,"Bactris acanthocarpoides","mm",16,2
"Fruit length",918,"Bactris ana-juliae","mm",11,4
"Fruit length",918,"Bactris aubletiana","mm",6,2
"Fruit length",918,"Bactris bahiensis","mm",15,2
"Fruit length",918,"Bactris balanophora","mm",15,2
"Fruit length",918,"Bactris barronis","mm",13,2
"Fruit length",918,"Bactris bidentula","mm",20,2
"Fruit length",918,"Bactris bifida","mm",25,2
"Fruit length",918,"Bactris brongniartii","mm",15,2
"Fruit length",918,"Bactris campestris","mm",6.5,2
"Fruit length",918,"Bactris caryotifolia","mm",14,2
"Fruit length",918,"Bactris caudata","mm",11,4
"Fruit length",918,"Bactris charnleyae","mm",6.5,2
"Fruit length",918,"Bactris chaveziae","mm",27.5,4
"Fruit length",918,"Bactris coloniata","mm",22.5,2
"Fruit length",918,"Bactris coloradonis","mm",20,2
"Fruit length",918,"Bactris concinna","mm",34.1666666666667,4
"Fruit length",918,"Bactris constanciae","mm",20,2
"Fruit length",918,"Bactris corossilla","mm",22.5,4
"Fruit length",918,"Bactris cubensis","mm",12.5,2
"Fruit length",918,"Bactris cuspidata","mm",10,2
"Fruit length",918,"Bactris dianeura","mm",15,4
"Fruit length",918,"Bactris elegans","mm",13.5,2
"Fruit length",918,"Bactris faucium","mm",20,2
"Fruit length",918,"Bactris ferruginea","mm",16.5,2
"Fruit length",918,"Bactris fissifrons","mm",27.5,4
"Fruit length",918,"Bactris gasipaes","mm",50,2
"Fruit length",918,"Bactris gastoniana","mm",27.5,4
"Fruit length",918,"Bactris glandulosa","mm",10.5,2
"Fruit length",918,"Bactris glassmanii","mm",13,2
"Fruit length",918,"Bactris glaucescens","mm",16,2
"Fruit length",918,"Bactris gracilior","mm",11.5,4
"Fruit length",918,"Bactris grayumii","mm",11.5,4
"Fruit length",918,"Bactris guineensis","mm",17.5,2
"Fruit length",918,"Bactris halmoorei","mm",15,2
"Fruit length",918,"Bactris hatschbachii","mm",20.5,4
"Fruit length",918,"Bactris herrerana","mm",12,4
"Fruit length",918,"Bactris hirta","mm",7.5,4
"Fruit length",918,"Bactris horridispatha","mm",32.5,4
"Fruit length",918,"Bactris jamaicana","mm",11,2
"Fruit length",918,"Bactris killipii","mm",14.5,4
"Fruit length",918,"Bactris kunorum","mm",16.5,4
"Fruit length",918,"Bactris longiseta","mm",15.5,4
"Fruit length",918,"Bactris macroacantha","mm",28.5,4
"Fruit length",918,"Bactris major","mm",35,4
"Fruit length",918,"Bactris maraja","mm",15,2
"Fruit length",918,"Bactris martiana","mm",45,4
"Fruit length",918,"Bactris mexicana","mm",12,2
"Fruit length",918,"Bactris militaris","mm",16,2
"Fruit length",918,"Bactris nancibaensis","mm",20,2
"Fruit length",918,"Bactris oligocarpa","mm",18.5,4
"Fruit length",918,"Bactris oligoclada","mm",12.5,2
"Fruit length",918,"Bactris panamensis","mm",8.5,4
"Fruit length",918,"Bactris pickelii","mm",13.5,2
"Fruit length",918,"Bactris pilosa","mm",22.5,4
"Fruit length",918,"Bactris pliniana","mm",20,2
"Fruit length",918,"Bactris plumeriana","mm",16,2
"Fruit length",918,"Bactris ptariana","mm",8.5,4
"Fruit length",918,"Bactris rhaphidacantha","mm",12.5,2
"Fruit length",918,"Bactris riparia","mm",10,2
"Fruit length",918,"Bactris rostrata","mm",37.5,3
"Fruit length",918,"Bactris schultesii","mm",8.5,2
"Fruit length",918,"Bactris setiflora","mm",25,4
"Fruit length",918,"Bactris setosa","mm",12.5,4
"Fruit length",918,"Bactris setulosa","mm",18,4
"Fruit length",918,"Bactris simplicifrons","mm",5,2
"Fruit length",918,"Bactris soeiroana","mm",10,2
"Fruit length",918,"Bactris sphaerocarpa","mm",21,2
"Fruit length",918,"Bactris syagroides","mm",7,2
"Fruit length",918,"Bactris tefensis","mm",10,2
"Fruit length",918,"Bactris timbuiensis","mm",14,2
"Fruit length",918,"Bactris tomentosa","mm",15,2
"Fruit length",918,"Bactris turbinocarpa","mm",30,4
"Fruit length",918,"Bactris vulgaris","mm",17,2
"Fruit length",918,"Bagassa guianensis","mm",42.3008333333333,12
"Fruit length",918,"Balaka diffusa","mm",41,4
"Fruit length",918,"Balaka longirostris","mm",33.3333333333333,4
"Fruit length",918,"Balaka macrocarpa","mm",40,2
"Fruit length",918,"Balaka microcarpa","mm",17,4
"Fruit length",918,"Balaka pauciflora","mm",15,2
"Fruit length",918,"Balaka samoensis","mm",35,4
"Fruit length",918,"Balaka seemannii","mm",19.5,4
"Fruit length",918,"Balaka streptostachys","mm",21.5,4
"Fruit length",918,"Balaka tahitensis","mm",20.1666666666667,4
"Fruit length",918,"Barcella odora","mm",35,2
"Fruit length",918,"Barklya syringifolia","mm",37.5,1
"Fruit length",918,"Basselinia deplanchei","mm",6,2
"Fruit length",918,"Basselinia eriostachys","mm",6.3,2
"Fruit length",918,"Basselinia favieri","mm",8,2
"Fruit length",918,"Basselinia glabrata","mm",12,2
"Fruit length",918,"Basselinia gracilis","mm",4,2
"Fruit length",918,"Basselinia humboldtiana","mm",10,2
"Fruit length",918,"Basselinia iterata","mm",9,2
"Fruit length",918,"Basselinia moorei","mm",13,2
"Fruit length",918,"Basselinia pancheri","mm",7,4
"Fruit length",918,"Basselinia porphyrea","mm",10,2
"Fruit length",918,"Basselinia sordida","mm",7,2
"Fruit length",918,"Basselinia tomentosa","mm",7.5,4
"Fruit length",918,"Basselinia velutina","mm",11,2
"Fruit length",918,"Basselinia vestita","mm",7,2
"Fruit length",918,"Batesia floribunda","mm",25.66,21
"Fruit length",918,"Bauhinia binata","mm",110,1
"Fruit length",918,"Bauhinia carronii","mm",85,1
"Fruit length",918,"Bauhinia cunninghamii","mm",140,1
"Fruit length",918,"Bauhinia gilva","mm",80,1
"Fruit length",918,"Bauhinia hookeri","mm",140,1
"Fruit length",918,"Bauhinia malabarica","mm",225,1
"Fruit length",918,"Baxteria australis","mm",15,1
"Fruit length",918,"Beccariophoenix alfredii","mm",24,2
"Fruit length",918,"Beccariophoenix madagascariensis","mm",35,2
"Fruit length",918,"Beilschmiedia sp","mm",42.5,1
"Fruit length",918,"Bellucia dichotoma","mm",24.3666666666667,9
"Fruit length",918,"Bellucia grossularioides","mm",21.235,6
"Fruit length",918,"Bellucia pentamera","mm",19.26,1
"Fruit length",918,"Bentinckia condapanna","mm",15,2
"Fruit length",918,"Bentinckia nicobarica","mm",15,2
"Fruit length",918,"Bertholletia excelsa","mm",103.168,5
"Fruit length",918,"Betula corylifolia","mm",4,1
"Fruit length",918,"Betula ermanii","mm",3,1
"Fruit length",918,"Bischofia javanica","mm",13,1
"Fruit length",918,"Bismarckia nobilis","mm",44,4
"Fruit length",918,"Bixa arborea","mm",21.7875,8
"Fruit length",918,"Bixa orellana","mm",35.7,1
"Fruit length",918,"Blandfordia cunninghamii","mm",90,1
"Fruit length",918,"Blandfordia grandiflora","mm",60,1
"Fruit length",918,"Blandfordia nobilis","mm",60,1
"Fruit length",918,"Blandfordia punicea","mm",55,1
"Fruit length",918,"Bocageopsis multiflora","mm",7,3
"Fruit length",918,"Bocageopsis pleiosperma","mm",12.5,3
"Fruit length",918,"Boehmeria macrophylla","mm",2,1
